EDO MFB
EDUEK MFB
EDUMANA MFB
EGBE MFB
EGBEMOHA MFB
EGWAFIN MFB
EHOR MFB
EJIAMATU MFB
EJINDU MFB
EKIMOGUN MFB
EKONDO MFB
EK-RELIABLE MFB
EKSU MFB
EKUOMBE MFB
EKWULOBIA MFB
ELO-EMEDE MFB
EMERALD MFB
EMPIRE TRUST MFB
ENDWELL MFB
ENEDE MFB LTD
ENRICH MFB
ENUGU UKWU MFB
EQUATOR MFB
EQUINOX MFB
ESAN MFB
ESO-E MFB
EVANGEL MFB
EVEREST MFB
EVERGREEN MFB
EWT MFB
EXCEL MFB
EXCELLENT MFB
EYOWO MFB
EZEBO MFB
FADAMA FARMERS MFB LTD.
FAHIMTA MFB
FAIDA MFB LTD
FAIRMONEY MFB LTD
FAME MFB
FASILDAPO MFB
FAST MFB
FCMB MFB LTD.
FCT MFB
FECETU MFB
FEDERAL POLYTECHNIC, NEKEDE MFB LTD
FEDETH CO-OP MFB
FEDPOLY NASARAWA MFB
FFS MFB
FIDFUND MFB
FIMS MFB
FINATRUST MFB
FINCA MFB
FINEX MFB
FIRMUS MFB
FIRST ACCESS MFB LTD
FIRST HERITAGE MFB
FIRST INDEX MFB
FIRST LOW-LAND MFB
FIRST MULTIPLE MFB
FIRST MUTUAL MFB
FIRST OPTION MFB
FIRST ROYAL MFB
FIYINFOLU CB
FLOURISH MFB
FORESIGHT MFB
FORTRESS MFB
FORWARD MFB
FRONTLINE MFB
FUD MFB
Fullrange Microfinance Bank Ltd
FUT MINNA
FUTO MFB
GAA AKANBI MFB
GABASAWA MFB
GAMAWA MFB
GAREWA MFB
GARKI MFB
GARU MALLAM MFB
GASHUA MFB
GAYA MFB
GBEDE MFB
GEZAWA MFB
GIANT STRIDE MFB LTD
Gidauniya Alheri MFB
GIGINYA MFB
GIREI MFB
GIWA MFB
GLOBAL INITIATIVE MFB
GLORY MFB
GMB MFB
GOBARAU MFB
GOLD MFB
GOLDEN CHOICE MFB
GOLDENFUNDS MFB
GOLDMAN MFB
GOMBE MFB
GOOD NEIGHBOURS MFB
GOOD NEWS MFB
GOOD SHEPHERD MFB
GOWANS MFB
GRANTS MFB
GRASSROOT MFB
GREEN ACRES MFB
GREEN ENERGY MFB
GREEN-BANK MFB
GREENLAND MFB
GREENVILLE MFB
GROOMING MFB
GTI MFB
GUDUSISA MFB
GULFARE MFB
